arch,classification,segmentation,#params,input shape height,input shape width,input shape depth,batch size,batch processing time,batch processing time std
VGG19,1.0,0.0,20054950,64,64,1,10.0,0.1212911287943522,0.0004082914871406308
VGG19,1.0,0.0,20116390,128,128,1,10.0,0.29478474458058673,0.0005816259005264684
ResNet50,1.0,0.0,23541130,2,2,1,10.0,0.06640926202138266,0.0016505857873290995
ResNet50,1.0,0.0,23541130,4,4,1,10.0,0.066209348042806,0.0015423462843381743
ResNet50,1.0,0.0,23541130,8,8,1,10.0,0.06577473481496175,0.0011163841206182118
ResNet50,1.0,0.0,23541130,16,16,1,10.0,0.0666436751683553,0.0017120636832301482
ResNet50,1.0,0.0,23541130,32,32,1,10.0,0.0687491496404012,0.0014105038610945128
ResNet50,1.0,0.0,23541130,64,64,1,10.0,0.08295385837554932,0.0013191841103791552
ResNet50,1.0,0.0,23541130,128,128,1,10.0,0.1472601334253947,0.0011244265854530877
DenseNet264,1.0,0.0,47414650,2,2,1,10.0,0.2953016360600789,0.0072199267107512935
DenseNet264,1.0,0.0,47414650,4,4,1,10.0,0.303102437655131,0.017840679722992185
DenseNet264,1.0,0.0,47414650,8,8,1,10.0,0.31955419381459554,0.02408310922240175
DenseNet264,1.0,0.0,47414650,16,16,1,10.0,0.3210503339767456,0.021145309681727262
DenseNet264,1.0,0.0,47414650,32,32,1,10.0,0.3131786266962687,0.017349539106799868
DenseNet264,1.0,0.0,47414650,64,64,1,10.0,0.3513717969258626,0.00619179145368188
DenseNet264,1.0,0.0,47414650,128,128,1,10.0,0.6803350448608398,0.10869012095840196
VGG16,1.0,0.0,10008742,2,2,1,10.0,0.0379015843073527,0.0007501363737433028
VGG16,1.0,0.0,10008742,4,4,1,10.0,0.03753572305043538,0.0006170085893689505
VGG16,1.0,0.0,10008742,8,8,1,10.0,0.038166673978169766,0.0017539695502372145
VGG16,1.0,0.0,10008742,16,16,1,10.0,0.04017690022786458,0.001098563241765658
VGG16,1.0,0.0,10008742,32,32,1,10.0,0.050302402178446455,0.0005254971084960626
VGG16,1.0,0.0,10024102,64,64,1,10.0,0.09154950777689616,0.0006437923134522902
VGG16,1.0,0.0,10085542,128,128,1,10.0,0.2569286823272705,0.002636107101511736
DenseNet169,1.0,0.0,14555514,2,2,1,10.0,0.12710693677266438,0.0066737119724308075
DenseNet169,1.0,0.0,14555514,4,4,1,10.0,0.12267273267110188,0.002723614923182648
DenseNet169,1.0,0.0,14555514,8,8,1,10.0,0.12356772422790528,0.004593136040827085
DenseNet169,1.0,0.0,14555514,16,16,1,10.0,0.12270371119181316,0.0027771817339820233
DenseNet169,1.0,0.0,14555514,32,32,1,10.0,0.12809247970581056,0.004056289591226655
DenseNet169,1.0,0.0,14555514,64,64,1,10.0,0.15520665645599366,0.003001177662611074
DenseNet169,1.0,0.0,14555514,128,128,1,10.0,0.2947307268778483,0.0013583198428378975
Inception_v1,1.0,0.0,6024858,2,2,1,10.0,0.04165013631184896,0.001090346673633292
Inception_v1,1.0,0.0,6024858,4,4,1,10.0,0.041123398145039874,0.0009424554595748405
Inception_v1,1.0,0.0,6024858,8,8,1,10.0,0.04144226710001628,0.0007909641645663952
Inception_v1,1.0,0.0,6024858,16,16,1,10.0,0.04267915089925129,0.0018793406589583067
Inception_v1,1.0,0.0,6024858,32,32,1,10.0,0.04391452471415202,0.0011690722286826207
Inception_v1,1.0,0.0,6024858,64,64,1,10.0,0.05140248934427897,0.0010665453242459234
Inception_v1,1.0,0.0,6024858,128,128,1,10.0,0.08527720769246419,0.002989968517894472
DenseNet201,1.0,0.0,28593018,2,2,1,10.0,0.2087782939275105,0.0045412133990937464
